Title,Abstract,Year_Published,Publication Year,Source,Journal/Book,DOI,Download_URL,Keywords,MeSH_Terms,Authors,PMID,Citation,Create Date,PMCID,NIHMS ID,First Author,Reference
"Somatotype and body fat distribution among the slum residents in Guwahati, Assam: Implications for health risks.","Urban slums are characterized by informal settlements, poor living conditions and inadequate access to basic amenities. Poverty remains the largest structural determinant of health, with an increasing concentration of economically disadvantaged populations in urban areas. The present study aims to evaluate the somatotype and body fat percentage of adult inhabitants living in the urban slums of Guwahati using standardized anthropometric measurements. Assessment of somatotype provides valuable insight into body composition patterns and their potential association with susceptibility to non-communicable diseases (NCDs) in both sexes, thereby facilitating early risk identification. A total of 1,078 adults of 1860 years of age participated in the study. They were from eight slum settlements in Guwahati, representing a heterogeneous population comprising speakers of Bihari, Bengali, Assamese, and Punjabi, along with a small proportion of Telugu-speaking individuals. Anthropometric assessments included linear dimensions, circumferences (girth measurements), skinfold thicknesses, and skeletal breadths. Somatotype classification of the participants was performed using the HeathCarter method and analysed with R Statistical Software. The findings indicate that the maximum stature recorded among both males and females residing in the Guwahati slums was higher than the reported average adult height for the state of Assam. Endomorphic Mesomorph as the most prevalent somatotype indicating higher muscle and fat components with greater risk of obesity and metabolic disorders. The inhabitants face risks associated with both their somatotype and their fat percentage. Age-related declines in physical activity collectively may be is contributing to increased adiposity among the slum residents. Educating the slum residents may play a significant role in helping to understand about their overall health and active lifestyle.",2026,2026,Anthropologischer Anzeiger; Bericht uber die biologisch-anthropologische Literatur,Anthropologischer Anzeiger; Bericht uber die biologisch-anthropologische Literatur,10.1127/anthranz/1961,https://pubmed.ncbi.nlm.nih.gov/42028655/,[],[],"['Karuna Gogoi', 'Gulrukh Begum']",42028655,Anthropologischer Anzeiger; Bericht uber die biologisch-anthropologische Literatur. 2026 Apr 24. doi: 10.1127/anthranz/1961.,24-04-2026,,,Karuna Gogoi,Anthropologischer Anzeiger; Bericht uber die biologisch-anthropologische Literatur. 2026 Apr 24. doi: 10.1127/anthranz/1961.
Admixture and Genetic Connectivity: Autosomal Insights Into Indo-Aryan Speakers at the Eastern Edge of the Indian Subcontinent.,"Assam serves as a melting pot where various ethnicities converge, shaped by its strategic location bordering the six northeastern states and neighboring countries. This study examines the genomic ancestry of Indo-Aryan speakers in Assam, a region at the eastern edge of the Indian subcontinent known for its diverse linguistic and cultural influences. Principal Components Analysis (PCA) revealed that Assamese Indo-Aryans cluster closely with Bangladeshi Indo-Aryans, diverging from the typical South Asian genetic continuum. This group shows significant ancestral influences from East and Southeast Asia. Outgroup f3 statistics indicated that Assamese Indo-Aryans exhibit greater genetic drift in relation to other Indo-Aryan populations, particularly the Harijan and Kol groups from the Ganga plain, rather than with geographically closer Bengali or Nyishi populations. Haplotype-based fine-structure and identity by descent (IBD) analyses confirmed a close genetic affinity with Bangladeshi Indo-Aryans, along with notable connections to Harijan and Kol populations. The low levels of Runs of Homozygosity (RoH) suggest a high degree of genetic diversity, most likely due to a result of admixture and a large effective population size. Admixture events are estimated to have occurred 55 to 61 generations ago, indicating a composition of 76% Indian ancestry and 24% East/Southeast Asian ancestry. These findings, with enhanced resolution, suggest a reconsideration of the previous assumption that Northeast India served as a genetic barrier. Instead, they appear to support its role as a corridor facilitating bidirectional gene flow between South and East/Southeast Asia. Furthermore, the coexistence of diverse linguistic affiliations of ethnic groups in this region reflects in their ancestry patterns. These findings highlight the complex interplay of geography, language, and genetic exchange in the region.",2026,2026,American journal of human biology : the official journal of the Human Biology Council,American journal of human biology : the official journal of the Human Biology Council,10.1002/ajhb.70245,https://pubmed.ncbi.nlm.nih.gov/41858098/,"['Indo‐Aryan', 'Northeast India', 'Tibeto‐Burman', 'admixture', 'autosomes', 'geneflow']","['Humans', 'India', 'Haplotypes', 'Gene Flow', 'Principal Component Analysis', 'Genetic Variation', 'Ethnicity', 'Genetics, Population', 'Asian People']","['Vanya Singh', 'Chandana Basu Mallick', 'Madhumati Chatterjee', 'Rakesh Tamang', 'Shailesh Desai', 'Prajjval Pratap Singh', 'Rahul Kumar Mishra', 'Rudra Kumar Pandey', 'Ritusha Mishra', 'Ashish Singh', 'Prashanth Suravajhala', 'Arup Ratan Bandyopadhyay', 'Gyaneshwer Chaubey']",41858098,American journal of human biology : the official journal of the Human Biology Council. 2026 Mar. 38(3):e70245. doi: 10.1002/ajhb.70245.,20-03-2026,,,Vanya Singh,American journal of human biology : the official journal of the Human Biology Council. 2026 Mar. 38(3):e70245. doi: 10.1002/ajhb.70245.
